date,자외선,자외선차단,UV차단,자외선검색지수,UVB평균,UVB최대,UVB최소,수집일수,커버리지,api_success,year,month,season
2020-02-01,33.70663,17.64912,72.4668,41.27418333333333,2.39,3.65,0.41,29,100.0,True,2020,2,겨울
2020-03-01,51.96927,34.57894,64.64011,50.396106666666675,3.85,5.76,1.0,31,100.0,True,2020,3,기타
2020-04-01,62.40021,44.0,61.35569,55.91863333333333,4.89,6.84,1.93,30,100.0,True,2020,4,기타
2020-05-01,79.65268,65.26315,67.22571,70.71384666666667,5.5,8.23,1.13,30,96.8,True,2020,5,기타
2020-06-01,100.0,76.57894,90.07686,88.88526666666667,6.12,8.21,2.13,30,100.0,True,2020,6,여름
2020-07-01,79.99697,46.66666,60.44723,62.370286666666665,4.46,7.04,1.57,31,100.0,True,2020,7,여름
2020-08-01,59.38481,35.36842,48.28791,47.68037999999999,5.78,8.63,1.25,30,96.8,True,2020,8,여름
2020-09-01,55.79811,23.57894,32.35499,37.244013333333335,4.49,6.94,1.88,30,100.0,True,2020,9,기타
2020-10-01,45.51851,19.38596,31.79594,32.233470000000004,3.89,5.42,1.84,31,100.0,True,2020,10,기타
2020-11-01,43.22954,17.05263,28.02236,29.434843333333333,2.19,3.33,0.55,30,100.0,True,2020,11,기타
2020-12-01,42.87768,14.24561,31.09713,29.406806666666665,1.79,2.31,1.11,31,100.0,True,2020,12,겨울
2021-01-01,33.08614,14.47368,30.95737,26.172396666666668,1.84,2.7,0.83,31,100.0,True,2021,1,겨울
2021-02-01,29.32162,18.17543,32.7044,26.733816666666666,2.63,3.34,1.36,28,100.0,True,2021,2,겨울
2021-03-01,46.43789,33.22807,43.32634,40.99743333333334,3.56,5.41,0.73,31,100.0,True,2021,3,기타
2021-04-01,64.87079,53.03508,54.57721,57.49436,5.04,7.28,1.77,30,100.0,True,2021,4,기타
2021-05-01,67.837,62.07017,66.73654,65.54790333333334,5.17,7.79,1.69,31,100.0,True,2021,5,기타
2021-06-01,75.57413,76.92982,77.91754,76.80716333333334,5.35,8.59,1.79,30,100.0,True,2021,6,여름
2021-07-01,67.35651,80.03508,85.32494,77.57217666666666,6.37,8.29,2.42,31,100.0,True,2021,7,여름
2021-08-01,52.66164,38.35087,43.04682,44.68644333333333,5.07,8.45,0.99,30,96.8,True,2021,8,여름
2021-09-01,47.17566,22.98245,27.39343,32.517179999999996,4.73,6.81,2.11,30,100.0,True,2021,9,기타
2021-10-01,43.95217,17.75438,25.57651,29.094353333333334,3.59,5.34,2.03,31,100.0,True,2021,10,기타
2021-11-01,36.14316,13.31578,23.7596,24.406179999999996,1.98,2.86,0.29,30,100.0,True,2021,11,기타
2021-12-01,31.67871,12.98245,20.12578,21.595646666666664,1.43,1.79,0.95,31,100.0,True,2021,12,겨울
2022-01-01,27.22182,13.57894,30.81761,23.87279,1.59,2.21,0.97,31,100.0,True,2022,1,겨울
2022-02-01,26.43108,18.29824,33.0538,25.927706666666666,2.3,3.46,1.49,28,100.0,True,2022,2,겨울
2022-03-01,42.16639,32.38596,42.06848,38.87360999999999,3.05,5.01,0.54,30,96.8,True,2022,3,기타
2022-04-01,62.06348,62.54385,59.32914,61.31215666666666,4.92,6.58,1.79,30,100.0,True,2022,4,기타
2022-05-01,77.14047,93.92982,81.761,84.27709666666667,5.98,7.45,2.75,31,100.0,True,2022,5,기타
2022-06-01,81.8168,68.94736,70.16072,73.64162666666667,5.16,7.29,2.21,30,100.0,True,2022,6,여름
2022-07-01,83.26964,68.59649,70.2306,74.03224333333333,5.81,8.75,2.55,31,100.0,True,2022,7,여름
2022-08-01,69.30119,38.68421,49.0566,52.34733333333333,4.89,7.69,1.92,31,100.0,True,2022,8,여름
2022-09-01,61.16302,32.15789,29.14046,40.820456666666665,4.68,6.46,1.53,30,100.0,True,2022,9,기타
2022-10-01,47.38375,20.96491,26.34521,31.564623333333333,3.54,4.95,1.5,31,100.0,True,2022,10,기타
2022-11-01,40.36169,53.59649,29.41998,41.12605333333333,2.31,3.38,0.95,30,100.0,True,2022,11,기타
2022-12-01,29.90049,17.94736,27.18378,25.010543333333334,1.51,2.0,0.51,31,100.0,True,2022,12,겨울
2023-01-01,30.11993,16.03508,34.80083,26.98528,1.55,2.11,0.37,31,100.0,True,2023,1,겨울
2023-02-01,30.65339,22.10526,33.8225,28.860383333333335,2.36,3.57,0.75,28,100.0,True,2023,2,겨울
2023-03-01,52.2379,51.08771,54.71698,52.68086333333334,3.34,4.58,1.09,31,100.0,True,2023,3,기타
2023-04-01,64.90863,61.96491,63.1726,63.348713333333336,4.1,7.05,0.46,30,100.0,True,2023,4,기타
2023-05-01,79.50512,95.24561,90.63591,88.46221333333334,4.84,7.69,1.11,31,100.0,True,2023,5,기타
2023-06-01,82.35027,94.19298,96.6457,91.06298333333332,5.18,7.44,1.67,30,100.0,True,2023,6,여름
2023-07-01,68.26832,68.59649,79.59468,72.15316333333334,4.75,7.65,1.59,31,100.0,True,2023,7,여름
2023-08-01,56.37319,52.61403,64.43046,57.80589333333334,5.11,7.43,1.05,31,100.0,True,2023,8,여름
2023-09-01,45.98009,26.08771,35.08036,35.716053333333335,4.39,7.99,1.45,30,100.0,True,2023,9,기타
2023-10-01,38.53051,20.66666,30.04891,29.748693333333335,3.93,5.58,2.01,30,96.8,True,2023,10,기타
2023-11-01,34.65249,16.8421,29.97903,27.157873333333338,2.34,3.52,0.7,30,100.0,True,2023,11,기타
2023-12-01,26.81321,13.24561,22.85115,20.96999,1.51,2.29,0.3,31,100.0,True,2023,12,겨울
2024-01-01,26.13597,14.82456,33.12368,24.694736666666667,1.69,2.34,0.56,31,100.0,True,2024,1,겨울
2024-02-01,28.14498,17.61403,34.87071,26.876573333333337,1.94,3.34,0.48,29,100.0,True,2024,2,겨울
2024-03-01,41.71995,35.2807,45.56254,40.854396666666666,3.18,4.9,0.8,31,100.0,True,2024,3,기타
2024-04-01,61.43543,64.85964,76.65967,67.65158000000001,4.15,6.42,1.11,30,100.0,True,2024,4,기타
2024-05-01,78.90356,87.29824,86.5828,84.26153333333333,5.47,7.6,1.57,31,100.0,True,2024,5,기타
2024-06-01,83.40206,100.0,100.0,94.46735333333334,5.21,6.73,0.75,30,100.0,True,2024,6,여름
2024-07-01,81.29847,63.43859,73.65478,72.79728,4.95,8.81,1.31,31,100.0,True,2024,7,여름
2024-08-01,64.32598,48.19298,62.33403,58.28432999999999,6.19,7.61,3.06,31,100.0,True,2024,8,여름
2024-09-01,53.72479,26.75438,38.08525,39.52147333333333,4.96,6.81,1.85,30,100.0,True,2024,9,기타
2024-10-01,45.01153,18.33333,32.77428,32.03971333333333,3.16,5.02,1.23,31,100.0,True,2024,10,기타
2024-11-01,37.11172,14.0,24.80782,25.30651333333333,2.2,3.43,0.9,30,100.0,True,2024,11,기타
2024-12-01,26.17381,11.8421,22.6415,20.219136666666667,1.54,2.13,0.84,31,100.0,True,2024,12,겨울
2025-01-01,22.22012,10.80701,23.06079,18.69597333333333,1.54,1.97,0.73,31,100.0,True,2025,1,겨울
2025-02-01,22.44712,17.29824,29.55974,23.101700000000005,2.37,3.24,0.56,28,100.0,True,2025,2,겨울
