date,keyword,segment,gender,age_group,search_volume,year,month
2023-01-01,선크림,20대 여성,여성,20대,38.06034,2023,1
2023-02-01,선크림,20대 여성,여성,20대,43.20043,2023,2
2023-03-01,선크림,20대 여성,여성,20대,68.96551,2023,3
2023-04-01,선크림,20대 여성,여성,20대,79.70905,2023,4
2023-05-01,선크림,20대 여성,여성,20대,100.0,2023,5
2023-06-01,선크림,20대 여성,여성,20대,89.04094,2023,6
2023-07-01,선크림,20대 여성,여성,20대,75.60344,2023,7
2023-08-01,선크림,20대 여성,여성,20대,65.05387,2023,8
2023-09-01,선크림,20대 여성,여성,20대,35.86206,2023,9
2023-10-01,선크림,20대 여성,여성,20대,32.95258,2023,10
2023-11-01,선크림,20대 여성,여성,20대,32.2737,2023,11
2023-12-01,선크림,20대 여성,여성,20대,27.16594,2023,12
2024-01-01,선크림,20대 여성,여성,20대,34.61206,2024,1
2024-02-01,선크림,20대 여성,여성,20대,40.38793,2024,2
2024-03-01,선크림,20대 여성,여성,20대,53.90086,2024,3
2024-04-01,선크림,20대 여성,여성,20대,73.00646,2024,4
2024-05-01,선크림,20대 여성,여성,20대,84.45043,2024,5
2024-06-01,선크림,20대 여성,여성,20대,84.80603,2024,6
2024-07-01,선크림,20대 여성,여성,20대,69.1487,2024,7
2024-08-01,선크림,20대 여성,여성,20대,61.76724,2024,8
2024-09-01,선크림,20대 여성,여성,20대,37.29525,2024,9
2024-10-01,선크림,20대 여성,여성,20대,29.74137,2024,10
2024-11-01,선크림,20대 여성,여성,20대,25.14008,2024,11
2024-12-01,선크림,20대 여성,여성,20대,23.06034,2024,12
2025-01-01,선크림,20대 여성,여성,20대,26.0237,2025,1
2025-02-01,선크림,20대 여성,여성,20대,30.89439,2025,2
2025-03-01,선크림,20대 여성,여성,20대,38.08189,2025,3
2025-04-01,선크림,20대 여성,여성,20대,48.94396,2025,4
2025-05-01,선크림,20대 여성,여성,20대,52.43534,2025,5
2025-06-01,선크림,20대 여성,여성,20대,55.61422,2025,6
2025-07-01,선크림,20대 여성,여성,20대,61.27155,2025,7
2025-08-01,선크림,20대 여성,여성,20대,38.76077,2025,8
2025-09-01,선크림,20대 여성,여성,20대,21.72413,2025,9
2025-10-01,선크림,20대 여성,여성,20대,18.40517,2025,10
2025-11-01,선크림,20대 여성,여성,20대,10.76508,2025,11
2023-01-01,선크림,30대 여성,여성,30대,39.25421,2023,1
2023-02-01,선크림,30대 여성,여성,30대,45.03159,2023,2
2023-03-01,선크림,30대 여성,여성,30대,68.57857,2023,3
2023-04-01,선크림,30대 여성,여성,30대,81.18186,2023,4
2023-05-01,선크림,30대 여성,여성,30대,100.0,2023,5
2023-06-01,선크림,30대 여성,여성,30대,84.95243,2023,6
2023-07-01,선크림,30대 여성,여성,30대,69.11325,2023,7
2023-08-01,선크림,30대 여성,여성,30대,56.48913,2023,8
2023-09-01,선크림,30대 여성,여성,30대,33.53933,2023,9
2023-10-01,선크림,30대 여성,여성,30대,36.68495,2023,10
2023-11-01,선크림,30대 여성,여성,30대,33.74071,2023,11
2023-12-01,선크림,30대 여성,여성,30대,29.51183,2023,12
2024-01-01,선크림,30대 여성,여성,30대,36.07388,2024,1
2024-02-01,선크림,30대 여성,여성,30대,40.24026,2024,2
2024-03-01,선크림,30대 여성,여성,30대,56.19748,2024,3
2024-04-01,선크림,30대 여성,여성,30대,77.27935,2024,4
2024-05-01,선크림,30대 여성,여성,30대,84.66773,2024,5
2024-06-01,선크림,30대 여성,여성,30대,82.22345,2024,6
2024-07-01,선크림,30대 여성,여성,30대,60.50968,2024,7
